Timestamp,Value,Value_Classification,BTC_Closing,BTC_Volume,Hour,DayOfWeek
2020-02-15 03:00:00,64.0,Greed,9889.4248046875,43865054831,3,5
2020-02-15 04:00:00,64.0,Greed,9889.4248046875,43865054831,4,5
2020-02-15 05:00:00,64.0,Greed,9889.4248046875,43865054831,5,5
2020-02-15 06:00:00,64.0,Greed,9889.4248046875,43865054831,6,5
2020-02-15 07:00:00,64.0,Greed,9889.4248046875,43865054831,7,5
2020-02-15 08:00:00,64.0,Greed,9889.4248046875,43865054831,8,5
2020-02-15 09:00:00,64.0,Greed,9889.4248046875,43865054831,9,5
2020-02-15 10:00:00,64.0,Greed,9889.4248046875,43865054831,10,5
2020-02-15 11:00:00,64.0,Greed,9889.4248046875,43865054831,11,5
2020-02-15 12:00:00,64.0,Greed,9889.4248046875,43865054831,12,5
2020-02-15 13:00:00,64.0,Greed,9889.4248046875,43865054831,13,5
2020-02-15 14:00:00,64.0,Greed,9889.4248046875,43865054831,14,5
2020-02-15 15:00:00,64.0,Greed,9889.4248046875,43865054831,15,5
2020-02-15 16:00:00,64.0,Greed,9889.4248046875,43865054831,16,5
2020-02-15 17:00:00,64.0,Greed,9889.4248046875,43865054831,17,5
2020-02-15 18:00:00,64.0,Greed,9889.4248046875,43865054831,18,5
2020-02-15 19:00:00,64.0,Greed,9889.4248046875,43865054831,19,5
2020-02-15 20:00:00,64.0,Greed,9889.4248046875,43865054831,20,5
2020-02-15 21:00:00,64.0,Greed,9889.4248046875,43865054831,21,5
2020-02-15 22:00:00,64.0,Greed,9889.4248046875,43865054831,22,5
2020-02-15 23:00:00,64.0,Greed,9889.4248046875,43865054831,23,5
2020-02-16 00:00:00,59.0,Greed,9934.43359375,43374780305,0,6
2020-02-16 01:00:00,59.0,Greed,9934.43359375,43374780305,1,6
2020-02-16 02:00:00,59.0,Greed,9934.43359375,43374780305,2,6
2020-02-16 03:00:00,59.0,Greed,9934.43359375,43374780305,3,6
2020-02-16 04:00:00,59.0,Greed,9934.43359375,43374780305,4,6
2020-02-16 05:00:00,59.0,Greed,9934.43359375,43374780305,5,6
2020-02-16 06:00:00,59.0,Greed,9934.43359375,43374780305,6,6
2020-02-16 07:00:00,59.0,Greed,9934.43359375,43374780305,7,6
2020-02-16 08:00:00,59.0,Greed,9934.43359375,43374780305,8,6
2020-02-16 09:00:00,59.0,Greed,9934.43359375,43374780305,9,6
2020-02-16 10:00:00,59.0,Greed,9934.43359375,43374780305,10,6
2020-02-16 11:00:00,59.0,Greed,9934.43359375,43374780305,11,6
2020-02-16 12:00:00,59.0,Greed,9934.43359375,43374780305,12,6
