index,timestamp,typical_price_first,typical_price_last,min_max_range,volume_sum,volume_std,number_of_trades_sum,number_of_trades_mean,quote_ratio_mean,quote_ratio_max,taker_buy_base_ratio_mean,taker_buy_base_ratio_max,taker_buy_quote_ratio_mean,taker_buy_quote_ratio_max,flag_mean,vola_current_range,vola_composite_index,ret_1m_log,ret_60m_future
33929,2021-06-30 21:00:00,34600.015,34795.705,438.7699999999968,2886.297396,41.87984820259015,55268,921.1333333333332,34833.12557606794,34998.21572228705,0.4695740734484747,0.7275945321405453,16356.13981935982,25368.129806267447,1.0,0.0015975515653014,1.0127185725829495,0.0001084555840293,-0.0013022225283165
33930,2021-06-30 22:00:00,34795.43,34841.21000000001,306.02999999999884,1555.840304,15.894862283614046,34798,579.9666666666667,34790.375890773445,34915.61669274564,0.4813402294443575,0.7733461162866571,16745.490356522587,26945.492850776525,1.0,0.0013827504786818,0.5333014031189905,4.122996757834821e-05,0.0072030439682128
33931,2021-06-30 23:00:00,34925.880000000005,35032.945,303.40000000000146,3733.522205,58.337207554868016,49444,824.0666666666667,35038.19349528551,35186.98824737744,0.5049366130510483,0.9057598620126232,17692.389707080667,31703.342330800875,1.0,0.0013311594271235,0.6784289686522855,7.274615479317535e-05,-0.0060652739327547
33932,2021-07-01 00:00:00,35012.735,34727.06,344.1599999999962,2446.393198,42.54001253197446,48906,815.1,34828.799144368924,35003.7019756058,0.4787752417717391,0.8211153014836566,16676.896211816424,28575.03105583559,1.0,0.0013010152460651,0.4689774821032483,-0.0001515261192069,0.0016043667783422
33933,2021-07-01 01:00:00,34724.785,34933.21,318.4100000000035,1416.549159,12.713489885896784,30567,509.45,34881.85469677323,34999.59195681164,0.516977774473028,0.7980007429876096,18033.964492390885,27831.08761676772,1.0,0.0009964411701665,0.2452251955733026,9.981235880649518e-05,-0.0115064395908812
33934,2021-07-01 02:00:00,34918.240000000005,34316.61,743.3799999999974,3787.824933,55.34487187082096,59229,987.15,34484.455715086944,34933.55191971778,0.4683658437089879,0.8329952951498006,16146.194073065652,28732.545678976217,1.0,0.0016855070789507,1.015175651797258,-0.0003066120596763,-0.0060661152999834
33935,2021-07-01 03:00:00,34325.29,34155.71000000001,283.5500000000029,1797.404599,24.34862773733568,34643,577.3833333333333,34270.43115039679,34385.610762215794,0.4686913598184516,0.887279496927833,16063.572850001929,30440.185188839383,1.0,0.0012977222521821,0.4090441196439007,-8.748975068352579e-05,-0.001156840675923
33936,2021-07-01 04:00:00,34121.47,34330.16499999999,276.86999999999534,1935.266555,26.2055169357647,35895,598.25,34226.52728684408,34325.10924777538,0.524812573855825,0.8438273830058112,17964.210957334857,28829.57314105398,1.0,0.0011707092605814,0.3890923049993779,0.0001024249264674,0.0015274163818553
33937,2021-07-01 05:00:00,34320.505,34328.15,237.54000000000087,1379.833783,15.807769782133368,28123,468.7166666666666,34280.97608946283,34400.546826677,0.5054510672511571,0.8517472772626787,17328.373787446053,29196.390983715988,1.0,0.0009086502827293,0.1057718531147386,-2.243064927285155e-06,-0.0046716738293333
33938,2021-07-01 06:00:00,34351.22,33522.925,1054.5699999999997,5946.295347,174.13665847872167,95184,1586.4,34120.51318057083,34446.76826336633,0.4454871624636515,0.9305397560176588,15202.924427796426,31936.745867172493,1.0,0.0017477001993468,1.2550452010408784,-0.0004002337075841,-0.0175734560356628
